date,location,energy,congestion,loss
2017-01-01T00:00:00,RHODEISLAND,34.86,0,0.41
2017-01-01T01:00:00,RHODEISLAND,33.72,0,0.37
2017-01-01T02:00:00,RHODEISLAND,32.4,0,0.34
2017-01-01T03:00:00,RHODEISLAND,25.88,0,0.27
2017-01-01T04:00:00,RHODEISLAND,29.65,0,0.3
2017-01-01T05:00:00,RHODEISLAND,32.54,0,0.35
2017-01-01T06:00:00,RHODEISLAND,32.45,0,0.31
2017-01-01T07:00:00,RHODEISLAND,33.91,0,0.35
2017-01-01T08:00:00,RHODEISLAND,38.37,0,0.39
2017-01-01T09:00:00,RHODEISLAND,40.75,0,0.45
2017-01-01T10:00:00,RHODEISLAND,33.53,0,0.39
2017-01-01T11:00:00,RHODEISLAND,33.41,0,0.32
2017-01-01T12:00:00,RHODEISLAND,33.42,0,0.31
2017-01-01T13:00:00,RHODEISLAND,34.11,0,0.29
2017-01-01T14:00:00,RHODEISLAND,33.41,0,0.31
2017-01-01T15:00:00,RHODEISLAND,33.56,0,0.27
2017-01-01T16:00:00,RHODEISLAND,39.47,0,-0.04
2017-01-01T17:00:00,RHODEISLAND,63.38,0,-0.23
2017-01-01T18:00:00,RHODEISLAND,52.93,0,-0.22
2017-01-01T19:00:00,RHODEISLAND,49.88,0,-0.21
2017-01-01T20:00:00,RHODEISLAND,46.66,0,-0.11
2017-01-01T21:00:00,RHODEISLAND,45.87,0,0.19
2017-01-01T22:00:00,RHODEISLAND,36.03,0,0.26
2017-01-01T23:00:00,RHODEISLAND,33.5,0,0.39
2017-01-02T00:00:00,RHODEISLAND,33.73,0,0.34
2017-01-02T01:00:00,RHODEISLAND,33.71,0,0.32
2017-01-02T02:00:00,RHODEISLAND,32.92,0,0.33
2017-01-02T03:00:00,RHODEISLAND,32.76,0,0.3
2017-01-02T04:00:00,RHODEISLAND,32.74,0,0.28
2017-01-02T05:00:00,RHODEISLAND,33.61,0,0.3
2017-01-02T06:00:00,RHODEISLAND,33.65,0,0.32
2017-01-02T07:00:00,RHODEISLAND,34.9,0,0.01
