time,temperature_2m (°F),relative_humidity_2m (%),dew_point_2m (°F),precipitation (inch),cloud_cover (%)
2017-01-01T00:00,34.2,91,31.8,0.035,94
2017-01-01T01:00,34.5,93,32.7,0.024,91
2017-01-01T02:00,34.4,94,32.8,0.02,87
2017-01-01T03:00,33.7,95,32.6,0.02,71
2017-01-01T04:00,33.3,96,32.2,0.008,80
2017-01-01T05:00,33.6,93,31.9,0.004,84
2017-01-01T06:00,33.7,91,31.2,0.004,39
2017-01-01T07:00,33.4,89,30.4,0,58
2017-01-01T08:00,34.3,87,31,0,12
2017-01-01T09:00,33.7,86,29.9,0,0
2017-01-01T10:00,36.3,77,29.8,0,2
2017-01-01T11:00,38.7,66,28.4,0,16
2017-01-01T12:00,39.6,55,24.7,0,57
2017-01-01T13:00,39.5,53,23.9,0,42
2017-01-01T14:00,39.7,49,22,0,0
2017-01-01T15:00,39.3,50,22,0,0
2017-01-01T16:00,37.9,54,22.7,0,0
2017-01-01T17:00,34.7,62,22.9,0,0
2017-01-01T18:00,31.9,71,23.5,0,0
2017-01-01T19:00,30.1,75,23.2,0,0
2017-01-01T20:00,29.8,78,23.7,0,0
2017-01-01T21:00,29.1,77,22.8,0,0
2017-01-01T22:00,27.5,78,21.6,0,0
2017-01-01T23:00,25.7,81,20.7,0,0
2017-01-02T00:00,23.9,83,19.4,0,0
2017-01-02T01:00,22,81,17.1,0,0
2017-01-02T02:00,19.9,81,15,0,0
2017-01-02T03:00,13.8,85,10.1,0,0
2017-01-02T04:00,12.1,86,8.8,0,0
2017-01-02T05:00,14.9,84,10.9,0,11
2017-01-02T06:00,14.7,82,10.1,0,6
2017-01-02T07:00,13.4,81,8.7,0,0
2017-01-02T08:00,15.2,79,9.8,0,3
2017-01-02T09:00,15.4,79,10.1,0,24
2017-01-02T10:00,18.2,80,13,0,25
2017-01-02T11:00,25.1,76,18.7,0,5
2017-01-02T12:00,31.8,57,18.3,0,22
2017-01-02T13:00,33.8,68,24.4,0,22
2017-01-02T14:00,35.2,62,23.5,0,24
2017-01-02T15:00,35.5,65,25,0,18
2017-01-02T16:00,31.4,79,25.6,0,0
2017-01-02T17:00,28.5,81,23.5,0,0
2017-01-02T18:00,33.8,73,26.2,0,0
2017-01-02T19:00,32.4,74,25,0,0
2017-01-02T20:00,24.9,82,20.2,0,1
2017-01-02T21:00,21.4,83,17.1,0,6
2017-01-02T22:00,23.9,81,18.9,0,5
2017-01-02T23:00,23.9,78,18,0,22
2017-01-03T00:00,28.5,81,23.6,0,79
2017-01-03T01:00,29.1,88,25.9,0,94
2017-01-03T02:00,29.9,87,26.4,0,100
2017-01-03T03:00,32.7,84,28.4,0,79
2017-01-03T04:00,31.5,84,27.2,0,100
